Nominal Power,max. Length,max. Width,max. Height,max. Gross Vehicle Weight,Manufacturer,Commercial Name,Type,Wheelbase,Power/Weight Ratio,Seats,max. Top Speed
195,4091,1781,1299,1640,BMW,Z Reihe,Z85,2495,0.139285714,2,250
130,4091,1781,1299,1600,BMW,Z Reihe,Z85,2495,0.095588235,2,229
160,4091,1781,1299,1620,BMW,Z Reihe,Z85,2495,0.11615245,2,240
155,4091,1781,1299,1620,BMW,Z Reihe,Z85,2495,0.112522686,2,240
105,4239,1748,1421,1800,BMW,1er Reihe,187,2660,0.077348066,5,210
195,4091,1781,1283,1680,BMW,Z Reihe,Z85,2495,0.138297872,2,250
90,4227,1751,1430,1810,BMW,1er Reihe,187,2660,0.064981949,5,201
195,4227,1751,1430,1875,BMW,1er Reihe,187,2660,0.134482759,5,250
110,4227,1751,1430,1850,BMW,1er Reihe,187,2660,0.077464789,5,217
110,4227,1751,1430,1775,BMW,1er Reihe,187,2660,0.081936685,5,217
95,4227,1751,1430,1760,BMW,1er Reihe,187,2660,0.071428571,5,208
120,4227,1751,1430,1850,BMW,1er Reihe,187,2660,0.084507042,5,220
85,4227,1751,1430,1745,BMW,1er Reihe,187,2660,0.064393939,5,200
89,4227,1751,1430,1810,BMW,1er Reihe,187,2660,0.064259928,5,201
120,2230,785,1180,450,BMW,"K 1200 R Sport,K 1200 R",K12R,1580,0.50209205,2,264
79,2230,785,1180,450,BMW,"K 1200 R,K 1200 R Sport",K12R,1580,0.330543933,2,220
112,2355,795,1485,520,BMW,K 1200 GT,K12S,1571,0.397163121,2,252
123,2220,735,1220,450,BMW,K 1200 S,K12S,1571,0.495967742,2,280
79,2355,795,1485,520,BMW,K 1200 GT;K 1200 S,K12S,1571,0.298113208,2,225
110,4091,1781,1299,1520,BMW,Z Reihe,Z85,2495,0.084942085,2,220
72,2250,990,1525,475,BMW,"R 1200 GS Adventure,R 120",R12,1520,0.297520661,2,207
74,2250,950,1470,475,BMW,R 1200 GS;R 1200 GS Adven,R12,1520,0.307692308,2,208
130,4843,1846,1491,2180,BMW,5er Reihe,560L,2886,0.079027356,5,227
270,4843,1846,1491,2320,BMW,5er Reihe,560L,2886,0.147540984,5,250
155,4841,1846,1468,2160,BMW,5er Reihe,560L,2888,0.093093093,5,244
